ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C1319,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1320,1.5nF,SM0805,Yageo,CC0805KRX7R9BB152,digikey,311-1128-1-ND,50v,10%,ceramic,other,more,stuff
C1321,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1322,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1323,330pF,SM0805,AVX,08055C333KAZ2A,digikey,478-3550-1-ND,50,10%,ceramic,other,more,stuff
C1324,1uF,SM0805-C1,avx,08051C103JAT2A,newark,96M1352,-,-,100,v,5,%,ceramic,-
C1325,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1326,1uF,SM0805-C1,avx,08051C103JAT2A,newark,96M1352,-,-,100,v,5,%,ceramic,-
C1327,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1328,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1329,1nF,SM0805-C1,avx,08055F102K4Z2A,newark,26M5154,-,-,50,v,10,%,ceramic,-
C1330,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1331,1nF,SM0805-C1,avx,08055F102K4Z2A,newark,26M5154,-,-,50,v,10,%,ceramic,-
D101,PESD1CAN,SOT23-3,nxp,PESD1CAN,newark,74M3585
D401,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D402,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D403,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D404,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D405,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D406,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D407,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D408,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D409,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D410,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D411,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D412,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D413,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D414,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D415,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D416,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D417,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
D418,MBR0520L,SOD-123,fairchild,MBR0520L,mouser,512-MBR0520L,-,-,-,-,20,V-reverse,.5,A-forward,SMT,other,more,stuff
